PC,feature,loading,type
PC4,mfcc_kurtosis_11,2.686383818902122e-05,weak
PC2,mfcc_kew_12,3.0377932662426416e-05,weak
PC4,mfcc_min_12,-0.002123731081044375,weak
PC3,mfcc_max_12,0.00175616153401402,weak
PC2,mfcc_std_12,-0.000622964670442036,weak
PC3,mfcc_mean_12,0.0017120936939441294,weak
PC3,mfcc_median_12,0.0016768966040344468,weak
PC4,mfcc_kurtosis_12,9.433090138040951e-05,weak
PC2,mfcc_kew_13,2.9268587482612188e-05,weak
PC4,mfcc_min_13,-0.002188017775630536,weak
PC2,mfcc_max_13,-0.0012266231021661172,weak
PC2,mfcc_std_13,-0.0004921606563229755,weak
PC4,mfcc_mean_13,-0.0010646313606863047,weak
PC3,mfcc_median_13,0.0010481830343818887,weak
PC4,mfcc_kurtosis_13,5.301893010401554e-05,weak
PC4,mfcc_kew_14,-5.164488733202624e-05,weak
PC4,mfcc_min_14,-0.0018630448266367396,weak
PC2,mfcc_max_14,-0.0013140194366244807,weak
PC2,mfcc_std_14,-0.00043900902615408706,weak
PC3,mfcc_mean_14,0.0012901503309328917,weak
PC3,mfcc_median_14,0.0012676400926183479,weak
PC2,mfcc_kurtosis_14,-6.455214349492795e-05,weak
PC1,mfcc_kew_15,-2.6606116232476967e-05,weak
PC4,mfcc_min_15,-0.001636581158559691,weak
PC2,mfcc_max_15,-0.00119406246472145,weak
PC2,mfcc_std_15,-0.00041880854659784143,weak
PC3,mfcc_mean_15,0.0010978025661856718,weak
PC3,mfcc_median_15,0.0011184870972446876,weak
PC2,mfcc_kurtosis_15,-5.2034906819280626e-05,weak
PC3,mfcc_kew_16,-5.2149043029439215e-05,weak
PC4,mfcc_min_16,-0.00210735544763225,weak
PC2,mfcc_max_16,-0.0010528516414315453,weak
PC2,mfcc_std_16,-0.0004147532850700537,weak
PC4,mfcc_mean_16,-0.0009579703524839323,weak
PC4,mfcc_median_16,-0.0009367183528274956,weak
PC4,mfcc_kurtosis_16,0.0001400059730585756,weak
PC1,mfcc_kew_17,-1.3783908965496602e-05,weak
PC4,mfcc_min_17,-0.0018058512588068694,weak
PC2,mfcc_max_17,-0.0014784455492364592,weak
PC2,mfcc_std_17,-0.00040758464443158113,weak
PC4,mfcc_mean_17,-0.0010847839963990579,weak
PC4,mfcc_median_17,-0.0010916419972396302,weak
PC2,mfcc_kurtosis_17,-6.207936418879047e-05,weak
PC4,mfcc_kew_18,3.266093891122624e-05,weak
PC2,mfcc_min_18,0.0012567943346241605,weak
PC2,mfcc_max_18,-0.0015140923814884806,weak
PC2,mfcc_std_18,-0.00039983859750464875,weak
PC3,mfcc_mean_18,0.0006200151696900873,weak
PC3,mfcc_median_18,0.0006751608829683708,weak
PC4,mfcc_kurtosis_18,9.635725605330874e-05,weak
PC4,mfcc_kew_19,3.567652598922762e-05,weak
PC4,mfcc_min_19,-0.0016589348984144539,weak
PC2,mfcc_max_19,-0.0015078501392477863,weak
PC2,mfcc_std_19,-0.0003518608559791134,weak
PC4,mfcc_mean_19,-0.001497700969547626,weak
PC4,mfcc_median_19,-0.0014644994160640011,weak
PC2,mfcc_kurtosis_19,-9.571687676708756e-05,weak
PC3,rms_kew_0,4.009150210775934e-05,weak
PC4,rms_min_0,-3.8584414000168764e-05,weak
PC3,rms_max_0,4.478944301966505e-05,weak
PC2,rms_std_0,-1.2131564269423178e-05,weak
PC4,rms_mean_0,-2.9384762417498528e-05,weak
PC4,rms_median_0,-3.128581166105965e-05,weak
PC4,rms_kurtosis_0,0.00015388399962962956,weak
PC3,spectral_centroid_kew_0,-0.0006446241665616707,weak
PC3,spectral_centroid_min_0,-0.20770467943433635,weak
PC2,spectral_centroid_std_0,-0.15458598046398273,weak
PC1,spectral_centroid_mean_0,-0.21613652580878243,weak
PC1,spectral_centroid_median_0,-0.23083207789043264,weak
PC3,spectral_centroid_kurtosis_0,-0.0022422182838705983,weak
PC3,spectral_bandwidth_kew_0,-0.00047025075850680366,weak
PC1,spectral_bandwidth_min_0,-0.19532990268904388,weak
PC4,spectral_bandwidth_max_0,-0.3585320647505341,weak
PC2,spectral_bandwidth_std_0,-0.0586274650371132,weak
PC1,spectral_bandwidth_mean_0,-0.12441268402221345,weak
PC1,spectral_bandwidth_median_0,-0.1246873262897115,weak
PC4,spectral_bandwidth_kurtosis_0,-0.0003283945638654673,weak
PC2,spectral_contrast_kew_0,0.00010061799364235342,weak
PC4,spectral_contrast_min_0,-0.0006414022714377527,weak
PC1,spectral_contrast_max_0,0.00029451728971603247,weak
PC4,spectral_contrast_std_0,0.0001831172556440116,weak
PC3,spectral_contrast_mean_0,0.0004617138788165104,weak
PC3,spectral_contrast_median_0,0.0005095257985277306,weak
PC4,spectral_contrast_kurtosis_0,-0.00039262536538627366,weak
PC2,spectral_contrast_kew_1,3.826156516197622e-05,weak
PC3,spectral_contrast_min_1,-0.00019295518253536334,weak
PC4,spectral_contrast_max_1,0.0012974442307822883,weak
PC4,spectral_contrast_std_1,0.0002438944454206463,weak
PC4,spectral_contrast_mean_1,0.000608758106451344,weak
PC4,spectral_contrast_median_1,0.0005922746247168356,weak
PC2,spectral_contrast_kurtosis_1,0.0001073147117157893,weak
PC2,spectral_contrast_kew_2,2.8775580087726462e-05,weak
PC3,spectral_contrast_min_2,-0.00028979503516420914,weak
PC2,spectral_contrast_max_2,-0.000593352472563223,weak
PC4,spectral_contrast_std_2,0.00021391349894215702,weak
PC4,spectral_contrast_mean_2,0.0005851280987487423,weak
PC4,spectral_contrast_median_2,0.0005869961780543379,weak
PC4,spectral_contrast_kurtosis_2,-0.0001462167099906364,weak
PC4,spectral_contrast_kew_3,3.786679164086474e-05,weak
PC2,spectral_contrast_min_3,0.0003637755961994948,weak
PC4,spectral_contrast_max_3,0.0006288519749659263,weak
PC2,spectral_contrast_std_3,-0.00020111468827675643,weak
PC3,spectral_contrast_mean_3,-0.0004252785807234949,weak
PC3,spectral_contrast_median_3,-0.00044429155026831196,weak
PC4,spectral_contrast_kurtosis_3,4.928522606656633e-05,weak
PC4,spectral_contrast_kew_4,3.515311033704677e-05,weak
PC3,spectral_contrast_min_4,-0.00026827002750437256,weak
PC2,spectral_contrast_max_4,-0.0006298519449324471,weak
PC2,spectral_contrast_std_4,-0.00018772028770045414,weak
PC3,spectral_contrast_mean_4,-0.00038189181717272254,weak
PC3,spectral_contrast_median_4,-0.00038759254229183755,weak
PC4,spectral_contrast_kurtosis_4,0.0001576274108809387,weak
PC4,spectral_contrast_kew_5,4.457787571070252e-05,weak
PC2,spectral_contrast_min_5,0.0001570339097315089,weak
PC1,spectral_contrast_max_5,0.0006702208447962539,weak
PC2,spectral_contrast_std_5,-0.0001845926665869809,weak
PC3,spectral_contrast_mean_5,-0.00047192006280559283,weak
PC3,spectral_contrast_median_5,-0.0004593846304971216,weak
PC4,spectral_contrast_kurtosis_5,0.00026618800852892723,weak
PC4,spectral_contrast_kew_6,-4.696496375633945e-05,weak
PC1,spectral_contrast_min_6,-0.00031649277350859347,weak
PC2,spectral_contrast_max_6,-0.00033755213931083486,weak
PC4,spectral_contrast_std_6,0.0002474929626288734,weak
PC3,spectral_contrast_mean_6,0.00020474634726897818,weak
PC3,spectral_contrast_median_6,0.00017685202597171997,weak
PC2,spectral_contrast_kurtosis_6,0.00027074611294587036,weak
PC3,spectral_rolloff_kew_0,-0.0005433629461832203,weak
PC3,spectral_rolloff_min_0,-0.4921424525521513,weak
PC2,spectral_rolloff_std_0,-0.2528861586066077,weak
PC1,spectral_rolloff_mean_0,-0.48420976352741063,weak
PC2,spectral_rolloff_kurtosis_0,0.00043795741534033807,weak
